ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,Parent_Bac
4,5,nan,003,3,nan,0,001,001,0,001,A003,5
4,6,nan,003,3,nan,0,001,001,0,001,A003,6
4,7,nan,003,3,nan,0,001,001,0,001,A003,7
4,8,nan,003,3,nan,0,001,001,0,001,A003,8
4,9,nan,003,3,nan,0,001,001,0,001,A003,9
4,10,nan,003,3,nan,0,001,001,0,001,A003,10
4,11,nan,003,3,nan,0,001,001,0,001,A003,12
4,12,nan,003,3,nan,0,001,001,0,001,A003,13
4,13,nan,003,3,nan,0,001,001,0,001,A003,14
4,14,nan,003,3,nan,0,001,001,0,001,A003,15
4,15,nan,003,3,nan,0,001,001,0,001,A003,16
4,16,nan,003,3,nan,0,001,001,0,001,A003,17
4,17,nan,003,3,nan,0,001,001,0,001,A003,19
4,18,nan,003,3,nan,0,001,001,0,001,A003,20
4,19,nan,003,3,nan,0,001,001,0,001,A003,21
4,20,nan,003,3,nan,0,001,001,0,001,A003,22
4,21,nan,003,3,nan,0,001,001,0,001,A003,23
4,22,nan,003,3,nan,0,001,001,0,001,A003,24
4,23,nan,003,3,nan,0,001,001,0,001,A003,25
4,24,nan,003,3,nan,0,001,001,0,001,A003,26
4,25,nan,003,3,nan,0,001,001,0,001,A003,27
4,26,nan,003,3,nan,0,001,001,0,001,A003,28
4,27,nan,003,3,nan,0,001,001,0,001,A003,29
4,28,nan,003,3,nan,0,001,001,0,001,A003,30
4,29,nan,003,3,nan,0,001,001,0,001,A003,31
5,1,nan,003,4,nan,0,001,001,0,001,A003,1
5,2,nan,003,4,nan,0,001,001,0,001,A003,2
5,3,nan,003,4,nan,0,001,001,0,001,A003,3
5,4,nan,003,4,nan,0,001,001,0,001,A003,4
5,5,nan,003,4,nan,0,001,001,0,001,A003,5
5,6,nan,003,4,nan,0,001,001,0,001,A003,6
5,7,nan,003,4,nan,0,001,001,0,001,A003,7
5,8,nan,003,4,nan,0,001,001,0,001,A003,8
5,9,nan,003,4,nan,0,001,001,0,001,A003,9
5,10,nan,003,4,nan,0,001,001,0,001,A003,11
5,11,nan,003,4,nan,0,001,001,0,001,A003,12
5,12,nan,003,4,nan,0,001,001,0,001,A003,13
5,13,nan,003,4,nan,0,001,001,0,001,A003,14
5,14,nan,003,4,nan,0,001,001,0,001,A003,15
5,15,nan,003,4,nan,0,001,001,0,001,A003,16
5,16,nan,003,4,nan,0,001,001,0,001,A003,17
5,17,nan,003,4,nan,0,001,001,0,001,A003,18
5,18,nan,003,4,nan,0,001,001,0,001,A003,19
5,19,nan,003,4,nan,0,001,001,0,001,A003,20
5,20,nan,003,4,nan,0,001,001,0,001,A003,21
5,21,nan,003,4,nan,0,001,001,0,001,A003,22
5,22,nan,003,4,nan,0,001,001,0,001,A003,23
5,23,nan,003,4,nan,0,001,001,0,001,A003,24
5,24,nan,003,4,nan,0,001,001,0,001,A003,25
5,25,nan,003,4,nan,0,001,001,0,001,A003,26
5,26,nan,003,4,nan,0,001,001,0,001,A003,27
5,27,nan,003,4,nan,0,001,001,0,001,A003,28
5,28,nan,003,4,nan,0,001,001,0,001,A003,29
5,29,nan,003,4,nan,0,001,001,0,001,A003,30
5,30,nan,003,4,nan,0,001,001,0,001,A003,31
5,31,nan,003,4,nan,0,001,001,0,001,A003,32
5,32,nan,003,4,nan,0,001,001,0,001,A003,33
5,33,nan,003,4,nan,0,001,001,0,001,A003,34
5,34,nan,003,4,nan,0,001,001,0,001,A003,35
5,35,nan,003,4,nan,0,001,001,0,001,A003,36
5,36,nan,003,4,nan,0,001,001,0,001,A003,37
5,37,nan,003,4,nan,0,001,001,0,001,A003,38
6,1,nan,003,5,nan,0,001,001,0,001,A003,1
6,2,nan,003,5,nan,0,001,001,0,001,A003,2
6,3,nan,003,5,nan,0,001,001,0,001,A003,3
6,4,nan,003,5,nan,0,001,001,0,001,A003,4
6,5,nan,003,5,nan,0,001,001,0,001,A003,5
6,6,nan,003,5,nan,0,001,001,0,001,A003,6
6,7,nan,003,5,nan,0,001,001,0,001,A003,7
6,8,nan,003,5,nan,0,001,001,0,001,A003,8
6,9,nan,003,5,nan,0,001,001,0,001,A003,9
6,10,nan,003,5,nan,0,001,001,0,001,A003,10
6,11,nan,003,5,nan,0,001,001,0,001,A003,11
