ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,Children_ExtraBac_Count,Children_IntraBac_Count,Distance_Centroid_Cell,Distance_Minimum_Cell,Location_Center_X,Location_Center_Y,Location_Center_Z,Parent_Cell
3,4,nan,003,2,nan,0,001,001,0,001,A003,205.0,73.0,1.0,0,1,22.377978406527752,13.277740677637963,205.48387096774192,71.43225806451613,0,28
3,5,nan,003,2,nan,0,001,001,0,001,A003,384.0,78.0,1.0,0,1,25.446853252648737,3.623793854716393,383.3893805309734,78.51327433628319,0,21
3,6,nan,003,2,nan,0,001,001,0,001,A003,376.0,88.0,1.0,0,1,16.1539753516362,15.403945218562248,376.33898305084745,88.11864406779661,0,21
3,7,nan,003,2,nan,0,001,001,0,001,A003,589.0,104.0,1.0,0,1,7.91456404515691,24.244438951421486,589.1029411764706,104.13235294117646,0,32
3,8,nan,003,2,nan,0,001,001,0,001,A003,655.0,167.0,1.0,0,1,24.395117141749946,2.8408234330520616,655.1166666666667,167.3,0,37
3,9,nan,003,2,nan,0,001,001,0,001,A003,72.0,177.0,1.0,0,1,57.985349332383215,12.041594578792296,72.0,177.0,0,54
3,10,nan,003,2,nan,0,001,001,0,001,A003,637.0,177.0,1.0,0,1,49.39961004248771,1.4201421903731999,636.6111111111111,177.7037037037037,0,41
3,11,nan,003,2,nan,0,001,001,0,001,A003,67.0,178.0,1.0,0,1,55.07589923824749,9.380714717942881,67.45945945945945,178.05405405405406,0,54
3,12,nan,003,2,nan,0,001,001,0,001,A003,659.0,184.0,1.0,0,1,25.09833908739035,7.844367693748589,660.4291845493563,183.16738197424894,0,41
3,13,nan,003,2,nan,0,001,001,0,001,A003,1215.0,187.0,1.0,0,1,19.990273741055795,6.032659887822751,1214.81592039801,187.02985074626866,0,43
3,14,nan,003,2,nan,0,001,001,0,001,A003,669.0,192.0,1.0,0,1,14.556438033837617,4.223076448131009,669.3179190751445,190.83236994219652,0,41
3,15,nan,003,2,nan,0,001,001,0,001,A003,1036.0,193.0,1.0,0,1,17.802508236749528,24.885415869513288,1036.4983277591973,194.1103678929766,0,46
3,16,nan,003,2,nan,0,001,001,0,001,A003,663.0,200.0,1.0,0,1,30.883351459736943,4.273694281288423,662.6363636363636,199.63636363636363,0,48
3,17,nan,003,2,nan,0,001,001,0,001,A003,1059.0,234.0,1.0,0,1,30.381848899614653,13.417128694457249,1058.7238095238095,234.5857142857143,0,46
3,18,nan,003,2,nan,0,001,001,0,001,A003,816.0,256.0,1.0,0,1,10.727458371905438,44.63103734620975,815.3402777777778,255.90972222222223,0,53
3,19,nan,003,2,nan,0,001,001,0,001,A003,882.0,283.0,1.0,0,1,62.228798891151484,7.753867331217273,881.8914027149322,282.67420814479635,0,53
3,20,nan,003,2,nan,0,001,001,0,001,A003,859.0,282.0,1.0,0,1,41.40442365933344,16.105199374646833,859.265306122449,283.03061224489795,0,53
